what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1409752459261
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1409752459261
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1409752459261
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1409752459277
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1409752459277
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1409752459277
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1409752459277
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1409752459277
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1409752459277
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1409752459277
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1409752459277
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1409752459277
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1409752459277
started,bundle,com.altera.sbtgui.integration,13.0.0.156,"com.altera.sbtgui.integration",1409752459277
started,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1409752459277
started,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1409752459277
started,bundle,com.altera.systemconsole,13.0.0.156,"com.altera.systemconsole",1409752459277
started,bundle,com.altera.systemconsole.designs.plugin,13.0.0.156,"com.altera.systemconsole.designs.plugin",1409752459277
started,bundle,com.altera.utilities,13.0.0.156,"com.altera.utilities",1409752459277
os,sysinfo,,,"win32",1409752459292
arch,sysinfo,,,"x86",1409752459292
ws,sysinfo,,,"win32",1409752459292
locale,sysinfo,,,"zh_CN",1409752459292
processors,sysinfo,,,"2",1409752459292
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1409752459292
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1409752459292
java.specification.name,sysinfo,,,"Java Platform API Specification",1409752459292
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1409752459292
java.specification.version,sysinfo,,,"1.6",1409752459292
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1409752459292
java.version,sysinfo,,,"1.6.0_23",1409752459292
java.vm.info,sysinfo,,,"mixed mode",1409752459292
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1409752459292
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1409752459292
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1409752459292
java.vm.specification.version,sysinfo,,,"1.0",1409752459292
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1409752459292
java.vm.version,sysinfo,,,"19.0-b09",1409752459292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409752466609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409752478059
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1409752478184
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1409752478262
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1409752478777
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1409752478902
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1409752478980
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1409752478980
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1409752478980
stopped,bundle,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch",1409752478980
stopped,bundle,com.altera.sbtgui.ui,13.0.0.156,"com.altera.sbtgui.ui",1409752478995
stopped,bundle,com.altera.sbtgui.project,13.0.0.156,"com.altera.sbtgui.project",1409752478995
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1409752478995
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1409752478995
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1409752478995
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1409752478995
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1409752478995
